Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,20.7162,20.7162,2.67591,55.4348,85.0695,24.1835,2.67591,0.3
0.0004,18.8093,18.8093,4.62193,86.9353,85.0695,24.3162,4.62193,0.329167
0.0006,17.5087,17.5087,4.78741,83.8212,85.0695,24.3276,4.78741,0.2875
0.0008,18.6846,18.6846,4.35641,81.3978,85.0695,24.3001,4.35641,0.245833
0.001,17.9439,17.9439,4.76429,85.49,85.0695,24.3276,4.76429,0.2875
0.0012,16.2253,16.2253,4.97265,80.6828,85.0695,24.337,4.97265,0.329167
0.0014,18.0307,18.0307,4.44256,80.1025,85.0695,24.3034,4.44256,0.2875
0.0016,18.8163,18.8163,4.37617,82.3432,85.0695,24.2983,4.37617,0.245833
0.0018,17.8915,17.8915,4.77142,85.3677,85.0695,24.3245,4.77142,0.2875
0.002,16.2402,16.2402,4.96256,80.5932,85.0695,24.3404,4.96256,0.329167
0.0022,18.0508,18.0508,4.4465,80.2631,85.0695,24.3056,4.4465,0.2875
0.0024,18.8142,18.8142,4.37509,82.3138,85.0695,24.2976,4.37509,0.245833
0.0026,17.8844,17.8844,4.77445,85.3879,85.0695,24.3249,4.77445,0.2875
0.0028,16.2252,16.2252,4.963,80.5257,85.0695,24.3363,4.963,0.329167
0.003,18.0443,18.0443,4.44789,80.259,85.0695,24.3052,4.44789,0.2875
0.0032,18.8127,18.8127,4.37715,82.3458,85.0695,24.2966,4.37715,0.245833
